IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
4035;ART0005136;CONSUNTIVO;ODP18-06009;Controllo qualità;CQ;RIS16;0;4
4036;ART0005136;CONSUNTIVO;ODP18-06009;Controllo qualità;CQ;RIS16;0;4
4037;ART0005136;CONSUNTIVO;ODP18-06009;Controllo qualità;CQ;RIS16;0;1
4038;ART0002360;CONSUNTIVO;ODP18-05953;Tornitura;A20;RIS2;2.25;0
4039;ART0001770;CONSUNTIVO;ODP18-05905;Fresatura;A30;RIS5;2;0
4040;ART0001770;CONSUNTIVO;ODP18-05905;Tornitura;A20;RIS11;2;0
4041;ART0001214;CONSUNTIVO;ODP18-05974;Saldatura;A11;RIS13;0.5;1
4042;ART0001214;CONSUNTIVO;ODP18-05974;Controllo qualità;CQ;RIS16;0;1
4043;ART0002411;CONSUNTIVO;ODP18-05832;Fresatura;A30;RIS9;1;8
4044;ART0001770;CONSUNTIVO;ODP18-05905;Fresatura;A30;RIS11;3.5;20
4045;ART0003160;CONSUNTIVO;ODP18-05828;Controllo qualità;CQ;RIS16;0;1
4046;ART0005136;CONSUNTIVO;ODP18-06044;Tornitura;A20;RIS2;1.5;1
4047;ART0001770;CONSUNTIVO;ODP18-05905;Tornitura;A20;RIS14;5;0
4048;ART0005136;CONSUNTIVO;ODP18-06026;Tornitura;A20;RIS2;2.25;2
4049;ART0001940;CONSUNTIVO;ODP18-05512;Controllo qualità;CQ;RIS16;0;6
4050;ART0001895;CONSUNTIVO;ODP18-05827;Controllo qualità;CQ;RIS16;0;10
4051;ART0002112;CONSUNTIVO;ODP18-05999;Controllo qualità;CQ;RIS16;0;7
4052;ART0002360;CONSUNTIVO;ODP18-05953;Fresatura;A30;RIS5;2;0
4053;ART0002360;CONSUNTIVO;ODP18-05953;Fresatura;A30;RIS5;1;2
4054;ART0005136;CONSUNTIVO;ODP18-05973;Controllo qualità;CQ;RIS16;0;40
4055;ART0005136;CONSUNTIVO;ODP18-05973;Controllo qualità;CQ;RIS16;0;102
4056;ART0001429;CONSUNTIVO;ODP18-05953;Tornitura;A20;RIS14;1.5;31
4057;ART0001429;CONSUNTIVO;ODP18-05953;Controllo qualità;CQ;RIS16;0;30
4058;ART0000811;CONSUNTIVO;ODP18-05512;Montaggio;A40;RIS4;3;5
4059;ART0000811;CONSUNTIVO;ODP18-05512;Controllo qualità;CQ;RIS16;0;5
4060;ART0005136;CONSUNTIVO;ODP18-06026;Fresatura;A30;RIS5;1;2
4061;ART0002360;CONSUNTIVO;ODP18-05953;Brocciatura / stozzatrice;A33;RIS1;1;2
4062;ART0005136;CONSUNTIVO;ODP18-06026;Controllo qualità;CQ;RIS16;0;2
4063;ART0003824;CONSUNTIVO;ODP18-05995;Tornitura;A20;RIS14;2.75;40
4064;ART0004711;CONSUNTIVO;ODP18-05444;Controllo qualità;CQ;RIS16;0;6
4065;ART0001261;CONSUNTIVO;ODP18-05952;Controllo qualità;CQ;RIS16;0;5
4066;ART0001593;CONSUNTIVO;ODP18-05828;Controllo qualità;CQ;RIS16;0;4
4067;ART0001886;CONSUNTIVO;ODP18-05953;Fresatura;A30;RIS11;10;0
4068;ART0005136;CONSUNTIVO;ODP18-06106;Preparazione materiale;A10;RIS12;1;1
4069;ART0005136;CONSUNTIVO;ODP18-06106;Controllo qualità;CQ;RIS16;0;1
4070;ART0001886;CONSUNTIVO;ODP18-05953;Tornitura;A20;RIS1;4;30
4071;ART0001886;CONSUNTIVO;ODP18-05953;Fresatura;A30;RIS1;0.0001;30
4072;ART0001886;CONSUNTIVO;ODP18-05953;Tornitura;A20;RIS1;-4;0
4073;ART0001886;CONSUNTIVO;ODP18-05953;Tornitura;A20;RIS1;4;30
4074;ART0002173;CONSUNTIVO;ODP18-06012;Tornitura;A20;RIS14;3.5;6
4075;ART0002240;CONSUNTIVO;ODP18-06051;Tornitura;A20;RIS14;2.5;4
4076;ART0002555;CONSUNTIVO;ODP18-06051;Tornitura;A20;RIS14;1.75;4
4077;ART0001794;CONSUNTIVO;ODP18-05997;Tornitura;A20;RIS14;5.5;5
4078;ART0000320;CONSUNTIVO;ODP18-05889;Fresatura;A30;RIS5;1.5;4
4079;ART0002411;CONSUNTIVO;ODP18-05832;Controllo qualità;CQ;RIS16;0;8
4080;ART0001208;CONSUNTIVO;ODP18-06107;Tornitura;A20;RIS2;1.25;2
4081;ART0001908;CONSUNTIVO;ODP18-06050;Tornitura;A20;RIS1;6;0
4082;ART0001208;CONSUNTIVO;ODP18-06107;Tornitura;A20;RIS2;2.25;0
4083;ART0001917;CONSUNTIVO;ODP18-05772;Controllo qualità;CQ;RIS16;0;30
4084;ART0005136;CONSUNTIVO;ODP18-06115;Tornitura;A20;RIS2;2.75;10
4085;ART0005136;CONSUNTIVO;ODP18-06123;Tornitura;A20;RIS13;0.25;1
4086;ART0005136;CONSUNTIVO;ODP18-06129;Tornitura;A20;RIS2;1.25;1
4087;ART0005136;CONSUNTIVO;ODP18-06129;Tornitura;A20;RIS2;1;1
4088;ART0005136;CONSUNTIVO;ODP18-06129;Controllo qualità;CQ;RIS16;0;1
4089;ART0000853;CONSUNTIVO;ODP18-05772;Montaggio;A40;RIS13;2;18
4090;ART0000853;CONSUNTIVO;ODP18-05772;Controllo qualità;CQ;RIS16;0;18
4091;ART0001908;CONSUNTIVO;ODP18-06050;Tornitura;A20;RIS1;6;0
4092;ART0005136;CONSUNTIVO;ODP18-06115;Fresatura;A30;RIS9;0.5;0
4093;ART0005136;CONSUNTIVO;ODP18-06115;Fresatura;A30;RIS11;0.75;10
4094;ART0000811;CONSUNTIVO;ODP18-06033;Montaggio;A40;RIS13;0.5;1
4095;ART0000811;CONSUNTIVO;ODP18-06033;Controllo qualità;CQ;RIS16;0;1
4096;ART0001908;CONSUNTIVO;ODP18-06050;Tornitura;A20;RIS1;1.5;30
4097;ART0001908;CONSUNTIVO;ODP18-06050;Fresatura;A30;RIS1;0.0001;30
4098;ART0005136;CONSUNTIVO;ODP18-06113;Tornitura;A20;RIS2;1.5;1
4099;ART0000847;CONSUNTIVO;ODP18-05953;Montaggio;A40;RIS13;0;2
4100;ART0000847;CONSUNTIVO;ODP18-05953;Controllo qualità;CQ;RIS16;0;2
4101;ART0002555;CONSUNTIVO;ODP18-06051;Fresatura;A30;RIS9;1;4
4102;ART0002173;CONSUNTIVO;ODP18-06012;Fresatura;A30;RIS9;0.75;0
